timestamp,open,high,low,close,adjusted_close,volume,adj_open,adj_high,adj_low
2020-12-31 18:30:00,535.5499877929688,537.0,526.0999755859375,527.5,505.92620849609375,13592625.0,513.6469664155943,515.0376757581087,504.58344253664615
2021-01-03 18:30:00,532.2999877929688,535.0,524.2999877929688,531.7000122070312,509.9544982910156,16549750.0,510.52993602261097,513.11952289266,502.8571207270198
2021-01-04 18:30:00,526.6500244140625,539.9500122070312,523.0,537.25,515.2774047851562,23311516.0,505.1109498559652,517.8669911656631,501.61020512356765
2021-01-05 18:30:00,538.75,550.5999755859375,535.8499755859375,546.7000122070312,524.3410034179688,28178838.0,516.716131852681,528.0814655831948,513.9347130173905
2021-01-06 18:30:00,552.1500244140625,554.4000244140625,539.75,541.0999755859375,518.9699096679688,21138034.0,529.5680303497315,531.726009188094,517.6751457805202
2021-01-07 18:30:00,547.0,547.0999755859375,536.3499755859375,542.0499877929688,519.8811645507812,21937965.0,524.6287305847001,524.7246173575334,514.4142721038121
2021-01-10 18:30:00,545.1500244140625,546.0,535.0,544.7000122070312,522.4227905273438,19394393.0,522.8543980685591,523.6696112272414,513.1194908545314
2021-01-11 18:30:00,541.0,550.6500244140625,537.0999755859375,548.0,525.5878295898438,16388310.0,518.8741164381487,528.129472984273,515.1335956952024
2021-01-12 18:30:00,551.5,561.0,548.25,556.5,533.7401733398438,21920297.0,528.9446641454157,538.056131614829,525.8275831690374
2021-01-13 18:30:00,554.0499877929688,558.4500122070312,550.5999755859375,553.2999877929688,530.6710205078125,13330898.0,531.3903468663191,535.610418251796,528.0814339094029
2021-01-14 18:30:00,550.0,551.0,541.5,543.0,520.792236328125,15708956.0,527.5059483986532,528.4650501230145,519.3535837415832
2021-01-17 18:30:00,544.5,548.4000244140625,528.9000244140625,533.1500244140625,511.34515380859375,21580313.0,522.2309359448572,525.9714564222927,507.26897111297274
2021-01-18 18:30:00,539.0,547.75,533.9000244140625,546.4500122070312,524.1011962890625,20575358.0,516.9558760898676,525.3480169354823,512.0644802697094
2021-01-19 18:30:00,546.4500122070312,554.5999755859375,546.0,551.0,528.4651489257812,16097138.0,524.1012469718398,531.917892363443,523.6696394073984
2021-01-20 18:30:00,555.0,561.0,549.7000122070312,552.7000122070312,530.0955810546875,18189277.0,532.3015035055736,538.0561143542824,527.2182756303331
2021-01-21 18:30:00,553.0999755859375,553.5,530.5999755859375,533.7999877929688,511.9685363769531,24515997.0,530.4791896711071,530.8628538121075,508.8993988657369
2021-01-24 18:30:00,536.5499877929688,542.2999877929688,531.2000122070312,538.0499877929688,516.0447998046875,23415249.0,514.6061468592945,520.1209831499677,509.4749747696347
2021-01-26 18:30:00,537.7999877929688,539.2000122070312,519.0999755859375,522.3499755859375,500.98675537109375,28049286.0,515.8048885151833,517.1476543262752,497.86967481005865
2021-01-27 18:30:00,514.5999755859375,529.8499755859375,512.0,528.25,506.6455993652344,29836591.0,493.5538344800233,508.1801390523277,491.06019285376243
2021-01-28 18:30:00,533.3499755859375,544.9500122070312,529.4500122070312,537.0,515.0376586914062,33172808.0,511.5369137595902,522.6625295921092,507.79645192038333
2021-01-31 18:30:00,552.0,609.4500122070312,551.0,603.7999877929688,579.1057739257812,69354326.0,529.4243022022694,584.5247236229567,528.4652002055261
2021-02-01 18:30:00,613.0,624.0,598.7000122070312,617.3499755859375,592.1015014648438,42362384.0,587.9294318485382,598.479552159034,574.21428715268
2021-02-02 18:30:00,623.4000244140625,627.5,614.0,622.3499755859375,596.8970336914062,27155908.0,597.9041375000774,601.8364318062661,588.888556380952
2021-02-03 18:30:00,618.7999877929688,631.6500244140625,609.0,628.2999877929688,602.6036376953125,29982222.0,593.4921707697523,605.8166637871558,584.0929850174863
2021-02-04 18:30:00,628.2999877929688,635.2999877929688,611.0,614.1500244140625,589.0324096679688,32015570.0,602.6036653782369,609.3173781581226,586.0112155014483
2021-02-07 18:30:00,622.3499755859375,633.9500122070312,622.3499755859375,629.5999755859375,603.8504638671875,18230551.0,596.8969758862472,608.0225917791083,596.8969758862472
2021-02-08 18:30:00,631.3499755859375,643.2000122070312,628.5999755859375,633.3499755859375,607.4472045898438,27155615.0,605.5290006646668,616.8943940447033,602.8914702675485
2021-02-09 18:30:00,633.3499755859375,638.2000122070312,626.4000244140625,632.1500244140625,606.296142578125,23967387.0,607.4470177480885,612.0986959592178,600.781307989523
2021-02-10 18:30:00,626.75,633.5999755859375,624.0999755859375,630.6500244140625,604.8575439453125,16072702.0,601.1170236930406,607.6868472855236,598.5753806320192
2021-02-11 18:30:00,629.9000244140625,649.9000244140625,629.4000244140625,647.5999755859375,621.1143188476562,19049709.0,604.1382633655525,623.3202998776966,603.6587124527489
2021-02-14 18:30:00,655.0,676.7999877929688,652.0,673.9500122070312,646.38671875,27155194.0,628.2117265563467,649.1201356713515,625.3344209385314
2021-02-15 18:30:00,673.4000244140625,679.4000244140625,649.5499877929688,658.3499755859375,631.4248046875,24966739.0,645.8593372222334,651.6139494628629,622.9847184423652
2021-02-16 18:30:00,654.7999877929688,664.9500122070312,649.3499755859375,657.3499755859375,630.4655151367188,21684753.0,628.01981736963,637.754723596953,622.7927010978988
2021-02-17 18:30:00,650.0,652.4000244140625,637.5999755859375,644.6500244140625,618.2850341796875,27845347.0,623.4162056878533,625.7180735551965,611.5233192714663
2021-02-18 18:30:00,635.5,635.5,619.0,624.0499877929688,598.5275268554688,24055811.0,609.5092552791426,609.5092552791426,593.6840739855063
2021-02-21 18:30:00,622.0,629.2999877929688,607.2999877929688,609.8499755859375,584.9082641601562,27092321.0,596.5613755384175,603.5628076271427,582.4625660486134
2021-02-22 18:30:00,614.75,623.0499877929688,609.0499877929688,616.2999877929688,591.094482421875,23534585.0,589.6078862018652,597.5684201719565,584.140993727343
